time_ms,reading,bpm,leads_off
3786997,518,0,0
3787052,521,0,0
3787107,503,0,0
3787161,523,0,0
3787215,534,0,0
3787269,512,0,0
3787322,421,0,0
3787376,502,0,0
3787429,518,0,0
3787482,563,0,0
3787535,586,0,0
3787589,490,0,0
3787643,476,0,0
3787737,496,0,0
3787790,485,0,0
3787843,486,0,0
3787898,513,0,0
3787951,508,0,0
3788005,497,0,0
3788059,506,0,0
3788113,523,0,0
3788167,529,0,0
3788221,523,0,0
3788276,502,0,0
3788330,416,0,0
3788385,524,0,0
3788439,519,0,0
3788493,547,0,0
3788548,604,0,0
3788643,466,0,0
3788699,497,0,0
3788788,491,0,0
3788828,502,0,0
3788868,502,0,0
3788907,490,0,0
3788946,509,0,0
3788985,511,0,0
3789025,493,0,0
3789066,523,0,0
3789105,515,0,0
3789145,535,0,0
3789185,515,0,0
3789224,492,0,0
3789264,578,0,0
3789304,495,0,0
3789384,536,0,0
3789424,541,0,0
3789464,600,0,0
3789504,563,0,0
3789544,481,0,0
3789584,481,0,0
3789627,478,0,0
3789667,499,0,0
3789707,482,0,0
3789747,509,0,0
3789787,493,0,0
3789827,494,0,0
3789868,500,0,0
3789910,497,0,0
3789950,516,0,0
3789991,490,0,0
3790073,518,0,0
3790113,507,0,0
3790155,501,0,0
3790196,395,0,0
3790237,490,0,0
3790278,513,0,0
3790320,520,0,0
3790361,552,0,0
3790402,593,0,0
3790443,528,0,0
3790484,477,0,0
3790525,469,0,0
3790568,485,0,0
3790609,484,0,0
3790651,505,0,0
3790692,493,0,0
3790774,490,0,0
3790815,515,0,0
3790858,493,0,0
3790900,516,0,0
3790942,516,0,0
3790984,517,0,0
3791028,509,0,0
3791070,413,0,0
3791113,509,0,0
3791156,494,0,0
3791199,538,0,0
3791240,548,0,0
3791283,604,0,0
3791326,503,0,0
3791369,474,0,0
3791412,483,0,0
3791496,501,0,0
3791538,478,0,0
3791581,507,0,0
3791625,492,0,0
3791668,499,0,0
3791712,517,0,0
3791763,529,0,0
3791807,495,0,0
3791852,758,0,0
3791896,544,0,0
3791940,490,0,0
3791983,523,0,0
3792028,541,0,0
3792072,573,0,0
3792115,567,0,0
3792160,479,0,0
3792243,493,0,0
3792287,490,0,0
3792331,511,0,0
3792375,498,0,0
3792419,505,0,0
3792463,514,0,0
3792509,519,0,0
3792555,496,0,0
3792601,607,0,0
3792645,539,0,0
3792689,487,0,0
3792734,514,0,0
3792778,546,0,0
3792823,567,0,0
3792867,566,0,0
3792911,489,0,0
3792997,508,0,0
3793044,505,0,0
3793088,487,0,0
3793135,496,0,0
3793181,524,0,0
3793227,519,0,0
3793272,489,0,0
3793318,876,0,0
3793363,514,0,0
3793408,500,0,0
3793451,513,0,0
3793497,555,0,0
3793542,586,0,0
3793588,513,0,0
3793633,486,0,0
3793679,505,0,0
3793764,505,0,0
3793811,518,0,0
3793857,506,0,0
3793904,485,0,0
3793950,545,0,0
3793996,473,0,0
3794040,480,0,0
3794086,498,0,0
3794132,535,0,0
3794178,571,0,0
3794224,535,0,0
3794271,470,0,0
3794317,491,0,0
3794363,507,0,0
3794409,500,0,0
3794455,496,0,0
3794543,494,0,0
3794592,932,0,0
3794638,478,0,0
3794686,487,0,0
3794733,509,0,0
3794781,552,0,0
3794828,581,0,0
3794876,488,0,0
3794924,478,0,0
3794971,479,0,0
3795021,482,0,0
3795068,513,0,0
3795116,498,0,0
3795164,490,0,0
3795212,747,0,0
3795259,481,0,0
3795345,529,0,0
3795391,552,0,0
3795440,570,0,0
3795487,471,0,0
3795536,475,0,0
3795582,496,0,0
3795629,520,0,0
3795677,546,0,0
3795726,517,0,0
3795774,491,0,0
3795821,883,0,0
3795870,465,0,0
3795918,489,0,0
3795965,521,0,0
3796013,576,0,0
3796061,568,0,0
3796152,475,0,0
3796203,487,0,0
3796252,485,0,0
3796301,487,0,0
3796350,495,0,0
3796399,504,0,0
3796447,525,0,0
3796494,505,0,0
3796544,577,0,0
3796594,543,0,0
3796646,511,0,0
3796695,527,0,0
3796745,567,0,0
3796794,590,0,0
3796844,504,0,0
3796894,496,0,0
3796984,486,0,0
3797033,490,0,0
3797083,498,0,0
3797132,505,0,0
3797182,509,0,0
3797231,513,0,0
3797284,505,0,0
3797334,503,0,0
3797384,513,0,0
3797433,519,0,0
3797484,523,0,0
3797534,511,0,0
3797584,729,0,0
3797634,501,0,0
3797686,508,0,0
3797735,526,0,0
3797827,582,0,0
3797878,496,0,0
3797930,487,0,0
3797981,495,0,0
3798033,491,0,0
3798085,485,0,0
3798136,488,0,0
3798188,496,0,0
3798239,507,0,0
3798291,515,0,0
3798342,525,0,0
3798394,535,0,0
3798447,514,0,0
3798499,466,0,0
3798552,496,0,0
3798603,503,0,0
3798696,585,0,0
3798748,531,0,0
3798800,468,0,0
3798854,479,0,0
3798906,494,0,0
3798958,508,0,0
3799011,511,0,0
3799064,502,0,0
3799117,495,0,0
3799170,508,0,0
3799223,511,0,0
3799276,941,0,0
3799329,506,0,0
3799384,510,0,0
3799436,519,0,0
3799488,574,0,0
3799583,474,0,0
3799636,482,0,0
3799688,497,0,0
3799741,514,0,0
3799794,518,0,0
3799848,510,0,0
3799900,489,0,0
3799954,851,0,0
3800008,506,0,0
3800061,511,0,0
3800114,524,0,0
3800168,561,0,0
3800221,516,0,0
3800274,488,0,0
3800327,492,0,0
3800381,489,0,0
3800474,509,0,0
3800528,511,0,0
3800581,489,0,0
3800635,474,0,0
3800688,489,0,0
3800743,518,0,0
3800797,540,0,0
3800851,567,0,0
3800909,487,0,0
3800963,480,0,0
3801018,477,0,0
3801072,496,0,0
3801127,505,0,0
3801181,498,0,0
3801236,478,0,0
3801291,819,0,0
3801387,492,0,0
3801477,555,0,0
3801516,575,0,0
3801556,530,0,0
3801596,478,0,0
3801635,462,0,0
3801674,486,0,0
3801714,491,0,0
3801755,490,0,0
3801794,504,0,0
3801835,485,0,0
3801877,511,0,0
3801917,488,0,0
3801957,507,0,0
3801999,499,0,0
3802038,520,0,0
